City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Treinta Y Tres,UY,66.79,light rain,-33.2333,-54.3833,Jardines Apart-Hotel
597,Rafaela,AR,76.62,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
600,Winnemucca,US,53.65,clear sky,40.973,-117.7357,Winners Inn Casino
602,Mpika,ZM,64.8,clear sky,-11.8343,31.4529,Melodies Lodge
604,Jalingo,NG,79.36,broken clouds,8.8833,11.3667,Debright Motel
609,Isiolo,KE,67.86,broken clouds,0.3546,37.5822,Gaddisa Hotel
610,Dabat,ET,55.26,clear sky,12.9842,37.765,Haymanot hotel
611,Akyab,MM,73.83,broken clouds,20.15,92.9,Hotel Memory
612,Cabatuan,PH,75.4,scattered clouds,10.8794,122.486,MVC Transient Room
616,Jequie,BR,73.04,broken clouds,-13.8575,-40.0836,Itajuba Hotel
617,Myitkyina,MM,56.79,clear sky,25.3833,97.4,Shwe Phyu Hotel
624,Jieshi,CN,65.59,few clouds,22.8134,115.8257,Yuehai Hotel
628,Lumphat,KH,70.72,overcast clouds,13.4878,106.9816,Lumphat Homestay
629,Riyadh,SA,60.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
636,Jalu,LY,75.81,overcast clouds,29.0331,21.5482,صاحبة الفخامة
639,Changde,CN,53.38,broken clouds,29.0464,111.6783,Kangshida Hotel
641,Harindanga,IN,66.18,scattered clouds,22.0383,88.3214,Hasanur Builders
645,Misratah,LY,66.16,broken clouds,32.3754,15.0925,Almasa Hotel
649,Biloela,AU,74.62,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
651,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
653,Belawan,ID,75.49,heavy intensity rain,3.7755,98.6832,Rumah Mamak Bapak M.Radial
657,Natchitoches,US,63.28,broken clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
658,Omboue,GA,77.04,light rain,-1.5746,9.2618,Hotel Olako
660,Narasannapeta,IN,71.69,overcast clouds,18.4167,84.05,G.lingaraju home
661,Phangnga,TH,75.31,heavy intensity rain,8.4509,98.5298,Sunimit Mansion
663,Sambava,MG,76.6,light rain,-14.2667,50.1667,Melrose
665,Bull Savanna,JM,78.15,scattered clouds,17.8868,-77.5902,Big Red's
