City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Belaya Gora,RU,68.5333,146.4167,-26.32,100,100,1.32,overcast clouds
80,Jining,CN,35.405,116.5814,46.24,86,4,1.9,clear sky
81,Todos Santos,MX,23.45,-110.2167,79.39,88,100,5.53,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,76.55,83,41,3.65,scattered clouds
83,Tutoia,BR,-2.7619,-42.2744,87.78,73,85,11.77,overcast clouds
84,Middelburg,ZA,-25.7751,29.4648,67.26,56,7,5.01,clear sky
85,Port Alfred,ZA,-33.5906,26.891,66.25,80,8,7.87,clear sky
86,Kununurra,AU,-15.7667,128.7333,75.18,88,21,0.0,few clouds
87,Kuusamo,FI,65.9667,29.1833,-0.36,85,40,4.61,light shower snow
88,Bethel,US,41.3712,-73.414,37.98,75,90,3.44,overcast clouds
89,Porto Recanati,IT,43.4365,13.6613,44.65,52,17,16.2,few clouds
90,Samarai,PG,-10.6167,150.6667,82.06,81,100,8.86,overcast clouds
91,Bonavista,CA,48.6499,-53.1147,39.2,79,10,16.8,clear sky
92,Voi,KE,-3.3945,38.563,73.36,85,62,7.49,broken clouds
93,Saint George,US,37.1041,-113.5841,75.67,23,1,0.0,clear sky
94,Yar-Sale,RU,66.8333,70.8333,-6.25,94,100,8.1,overcast clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,66.22,88,90,14.97,overcast clouds
96,Puerto Colombia,CO,10.9878,-74.9547,86.09,76,95,18.03,overcast clouds
97,Hetauda,NP,27.4284,85.0322,59.86,74,48,4.47,scattered clouds
98,Chokurdakh,RU,70.6333,147.9167,-39.03,100,79,0.58,broken clouds
99,Dunedin,NZ,-45.8742,170.5036,60.78,53,71,2.57,broken clouds
100,Norman Wells,CA,65.282,-126.8329,-30.96,61,75,2.3,broken clouds
101,Kibara,TZ,-2.15,33.45,73.44,74,99,4.63,overcast clouds
102,Bereda,ES,43.2686,-7.5406,49.75,96,100,6.4,overcast clouds
103,Hithadhoo,MV,-0.6,73.0833,81.37,75,66,17.43,broken clouds
104,Airai,TL,-8.9266,125.4092,60.44,89,100,1.5,overcast clouds
105,Sorong,ID,-0.8833,131.25,78.48,85,100,4.41,overcast clouds
106,Buenos Aires,AR,-34.6132,-58.3772,65.88,94,90,3.44,light rain
107,Dukat,RU,62.55,155.55,-13.56,100,100,1.57,overcast clouds
108,Aviles,ES,43.5547,-5.9248,52.99,100,75,24.16,broken clouds
109,Junagadh,IN,21.5167,70.4667,72.46,47,83,3.91,broken clouds
110,Victoria,HK,22.2855,114.1577,69.78,69,47,6.42,scattered clouds
111,Kailua,US,21.4022,-157.7394,80.58,65,20,12.66,few clouds
112,Vanavara,RU,60.34,102.2797,7.25,97,100,3.83,overcast clouds
113,Alice Springs,AU,-23.7,133.8833,56.75,77,0,0.0,clear sky
114,Pafos,CY,34.7667,32.4167,64.31,77,0,6.91,clear sky
115,Itarema,BR,-2.9248,-39.9167,81.48,75,26,15.64,scattered clouds
116,Payo,ID,-3.7508,103.6372,71.94,84,97,0.98,overcast clouds
117,Cibitoke,BI,-2.8833,29.25,61.29,88,80,4.45,broken clouds
118,San Vicente,AR,-26.6167,-54.1333,64.9,98,100,3.22,overcast clouds
119,Syasstroy,RU,60.1367,32.5691,19.31,91,89,7.25,overcast clouds
120,Fomboni,KM,-12.28,43.7425,80.11,77,29,9.08,scattered clouds
121,Jeremie,HT,18.65,-74.1167,79.32,77,46,4.83,scattered clouds
122,Nemuro,JP,43.3236,145.575,41.85,70,6,11.43,clear sky
123,Dikson,RU,73.5069,80.5464,-15.25,100,100,11.92,overcast clouds
124,Bibiani,GH,6.4635,-2.3194,75.04,85,96,2.55,overcast clouds
125,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,87,10.07,overcast clouds
126,Miranda De Ebro,ES,42.6865,-2.947,44.94,97,100,7.45,light rain
127,Thinadhoo,MV,0.5333,72.9333,81.91,72,83,18.79,broken clouds
128,Naze,JP,28.3667,129.4833,63.79,66,100,15.14,overcast clouds
129,Bollnas,SE,61.3482,16.3946,24.96,89,94,3.2,overcast clouds
130,Avera,US,33.194,-82.5271,60.67,34,87,9.8,overcast clouds
131,Xining,CN,36.6167,101.7667,22.15,79,100,3.24,light snow
132,Hualmay,PE,-11.0964,-77.6139,70.07,75,76,10.49,broken clouds
133,Itoman,JP,26.1247,127.6694,69.82,73,75,13.8,light rain
134,Namatanai,PG,-3.6667,152.4333,81.16,79,77,5.82,light rain
135,Luderitz,NA,-26.6481,15.1594,61.3,84,8,8.93,clear sky
136,Abu Samrah,SY,35.3029,37.1841,60.57,57,5,6.4,clear sky
137,San Quintin,MX,30.4833,-115.95,72.54,36,0,10.83,clear sky
138,Cape Town,ZA,-33.9258,18.4232,63.01,94,40,4.61,scattered clouds
